STATE	Posterior	Log-likelihood	Log-prior	Partition
21400	-108.84211916761585	-99.1355376713414	-9.706581496274456	[[0,1,3,4,5],[2,6,7,8,9]]
21500	-108.84211916761585	-99.1355376713414	-9.706581496274456	[[0,1,3,4,5],[2,6,7,8,9]]
21600	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
21700	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
21800	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
21900	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
22000	-117.70347703277272	-107.99689553649827	-9.706581496274456	[[0,2,6,7,8],[1,3,4,5,9]]
22100	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
22200	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
22300	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
22400	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
22500	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
22600	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
22700	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
22800	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
22900	-110.11768088289548	-100.62019118447958	-9.497489698415897	[[0,3,4,5],[1,2,6,7,8,9]]
23000	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
23100	-111.86647578499311	-104.17057847672152	-7.695897308271603	[[0,1,2,4,6,7,8,9],[3,5]]
23200	-113.46188018815798	-107.61987413022143	-5.84200605793654	[[0,1,2,3,5,6,7,8,9],[4]]
23300	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
23400	-113.98914448421866	-108.14713842628211	-5.84200605793654	[[0,1,2,3,4,6,7,8,9],[5]]
23500	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
23600	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
23700	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
23800	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
23900	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
24000	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
24100	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
24200	-113.83801288589603	-107.99600682795949	-5.84200605793654	[[0,1,2,4,5,6,7,8,9],[3]]
24300	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
